"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 14 13:01:16 GMT 2025","Wed May 14 13:01:19 GMT 2025","2566","LMS system","Courses","Courses","","","Create course",""
"passed","Wed May 14 13:01:06 GMT 2025","Wed May 14 13:01:09 GMT 2025","2311","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed May 14 13:01:09 GMT 2025","Wed May 14 13:01:12 GMT 2025","3176","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed May 14 13:01:13 GMT 2025","Wed May 14 13:01:14 GMT 2025","1404","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed May 14 13:01:15 GMT 2025","Wed May 14 13:01:16 GMT 2025","1424","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed May 14 13:01:11 GMT 2025","Wed May 14 13:01:13 GMT 2025","2006","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed May 14 13:01:06 GMT 2025","Wed May 14 13:01:09 GMT 2025","2298","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed May 14 13:01:17 GMT 2025","Wed May 14 13:01:20 GMT 2025","3091","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed May 14 13:01:19 GMT 2025","Wed May 14 13:01:21 GMT 2025","1742","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed May 14 13:01:09 GMT 2025","Wed May 14 13:01:11 GMT 2025","1561","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
